Wavelength (m),Spectral flux (W/m^2/m)
7.4800E-07,2.27E-07
7.4850E-07,2.26E-07
7.4900E-07,2.24E-07
7.4950E-07,2.25E-07
7.5000E-07,2.25E-07
7.5050E-07,2.23E-07
7.5100E-07,2.24E-07
7.5150E-07,2.25E-07
7.5200E-07,2.24E-07
7.5250E-07,2.23E-07
7.5300E-07,2.24E-07
7.5350E-07,2.25E-07
7.5400E-07,2.24E-07
7.5450E-07,2.23E-07
7.5500E-07,2.22E-07
7.5550E-07,2.22E-07
7.5600E-07,2.22E-07
7.5650E-07,2.21E-07
7.5700E-07,2.21E-07
7.5750E-07,2.18E-07
7.5800E-07,2.11E-07
7.5850E-07,0.00E+00
7.5900E-07,0.00E+00
7.5950E-07,0.00E+00
7.6000E-07,0.00E+00
7.6050E-07,0.00E+00
7.6100E-07,0.00E+00
7.6150E-07,0.00E+00
7.6200E-07,0.00E+00
7.6250E-07,0.00E+00
7.6300E-07,0.00E+00
7.6350E-07,0.00E+00
7.6400E-07,0.00E+00
7.6450E-07,0.00E+00
7.6500E-07,0.00E+00
7.6550E-07,0.00E+00
7.6600E-07,0.00E+00
7.6650E-07,0.00E+00
7.6700E-07,0.00E+00
7.6750E-07,0.00E+00
7.6800E-07,0.00E+00
7.6850E-07,0.00E+00
7.6900E-07,0.00E+00
7.6950E-07,0.00E+00
7.7000E-07,2.09E-07
7.7050E-07,2.13E-07
7.7100E-07,2.12E-07
7.7150E-07,2.12E-07
7.7200E-07,2.12E-07
7.7250E-07,2.12E-07
7.7300E-07,2.12E-07
7.7350E-07,2.12E-07
7.7400E-07,2.10E-07
7.7450E-07,2.09E-07
7.7500E-07,2.11E-07
7.7550E-07,2.12E-07
7.7600E-07,2.11E-07
7.7650E-07,2.08E-07
7.7700E-07,2.06E-07
7.7750E-07,2.07E-07
7.7800E-07,2.09E-07
7.7850E-07,2.10E-07
7.7900E-07,2.09E-07
7.7950E-07,2.08E-07
7.8000E-07,2.08E-07
7.8050E-07,2.08E-07
7.8100E-07,2.09E-07
7.8150E-07,2.10E-07
7.8200E-07,2.09E-07
7.8250E-07,2.07E-07
7.8300E-07,2.05E-07
7.8350E-07,2.07E-07
7.8400E-07,2.08E-07
7.8450E-07,2.07E-07
7.8500E-07,2.07E-07
7.8550E-07,2.07E-07
